,Name Of Movie,Release Year,Genre,Duration In Minutes,Ratings,Votes,Gross Earnings,Oscar Nominations,Oscars Won
0,The Godfather,1972,"Crime, Drama",175,9.2,"2,011,999",$134.97M,11,3
1,The Shawshank Redemption,1994,Drama,142,9.3,"2,888,199",$28.34M,7,0
2,Schindler's List,1993,"Biography, Drama, History",195,9.0,"1,450,426",$96.90M,12,7
3,Raging Bull,1980,"Biography, Drama, Sport",129,8.1,"380,172",$23.38M,8,2
4,Casablanca,1942,"Drama, Romance, War",102,8.5,"605,919",$1.02M,8,3
5,Citizen Kane,1941,"Drama, Mystery",119,8.3,"465,901",$1.59M,9,1
6,Gone with the Wind,1939,"Drama, Romance, War",238,8.2,"334,235",$198.68M,13,8
7,The Wizard of Oz,1939,"Adventure, Family, Fantasy",102,8.1,"428,569",$2.08M,6,2
8,One Flew Over the Cuckoo's Nest,1975,Drama,133,8.7,"1,072,217",$112.00M,9,5
9,Lawrence of Arabia,1962,"Adventure, Biography, Drama",218,8.3,"314,318",$44.82M,10,7
10,Vertigo,1958,"Mystery, Romance, Thriller",128,8.3,"426,841",$3.20M,2,0
11,Psycho,1960,"Horror, Mystery, Thriller",109,8.5,"718,175",$32.00M,4,0
12,The Godfather Part II,1974,"Crime, Drama",202,9.0,"1,363,943",$57.30M,11,6
13,On the Waterfront,1954,"Crime, Drama, Thriller",108,8.1,"164,858",$9.60M,12,8
14,Sunset Blvd.,1950,"Drama, Film-Noir",110,8.4,"236,403",NO Information ,11,3
15,Forrest Gump,1994,"Drama, Romance",142,8.8,"2,256,511",$330.25M,13,6
16,The Sound of Music,1965,"Biography, Drama, Family",172,8.1,"261,000",$163.21M,10,5
17,12 Angry Men,1957,"Crime, Drama",96,9.0,"864,857",$4.36M,3,0
18,West Side Story,1961,"Crime, Drama, Musical",153,7.6,"121,172",$43.66M,11,10
19,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",121,8.6,"1,449,387",$322.74M,10,6
20,2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149,8.3,"719,370",$56.95M,4,1
21,E.T. the Extra-Terrestrial,1982,"Adventure, Family, Sci-Fi",115,7.9,"437,446",$435.11M,9,4
22,The Silence of the Lambs,1991,"Crime, Drama, Thriller",118,8.6,"1,547,934",$130.74M,7,5
23,Chinatown,1974,"Drama, Mystery, Thriller",130,8.1,"349,785",NO Information ,11,1
24,The Bridge on the River Kwai,1957,"Adventure, Drama, War",161,8.1,"233,263",$44.91M,8,7
25,Singin' in the Rain,1952,"Comedy, Musical, Romance",103,8.3,"260,611",$8.82M,2,0
26,It's a Wonderful Life,1946,"Drama, Family, Fantasy",130,8.6,"499,075",NO Information ,5,0
27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Comedy, War",95,8.4,"518,188",$0.28M,4,0
28,Some Like It Hot,1959,"Comedy, Music, Romance",121,8.2,"283,490",$25.00M,6,1
29,Ben-Hur,1959,"Adventure, Drama",212,8.1,"253,628",$74.70M,12,11
30,Apocalypse Now,1979,"Drama, Mystery, War",147,8.4,"710,063",$83.47M,8,2
31,Amadeus,1984,"Biography, Drama, Music",160,8.4,"427,974",$51.97M,11,8
32,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201,9.0,"1,978,868",$377.85M,11,11
33,Gladiator,2000,"Action, Adventure, Drama",155,8.5,"1,619,825",$187.71M,12,5
34,Titanic,1997,"Drama, Romance",194,7.9,"1,280,187",$659.33M,14,11
35,From Here to Eternity,1953,"Drama, Romance, War",118,7.6,"50,805",$30.50M,13,8
36,Saving Private Ryan,1998,"Drama, War",169,8.6,"1,496,219",$216.54M,11,5
37,Unforgiven,1992,"Drama, Western",130,8.2,"436,101",$101.16M,9,4
38,Raiders of the Lost Ark,1981,"Action, Adventure",115,8.4,"1,036,761",$248.16M,8,4
39,Rocky,1976,"Drama, Sport",120,8.1,"628,335",$117.24M,10,3
40,A Streetcar Named Desire,1951,Drama,122,7.9,"114,323",$8.00M,12,4
41,The Philadelphia Story,1940,"Comedy, Romance",112,7.9,"73,833",NO Information ,6,2
42,To Kill a Mockingbird,1962,"Crime, Drama",129,8.3,"332,824",NO Information ,8,3
43,An American in Paris,1951,"Drama, Musical, Romance",114,7.2,"36,873",$4.50M,8,6
44,The Best Years of Our Lives,1946,"Drama, Romance, War",170,8.1,"70,539",$23.65M,8,7
45,My Fair Lady,1964,"Drama, Family, Musical",170,7.7,"101,799",$72.00M,12,8
46,A Clockwork Orange,1971,"Crime, Sci-Fi",136,8.3,"881,199",$6.21M,4,0
47,Doctor Zhivago,1965,"Drama, Romance, War",193,7.9,"82,068",$111.72M,10,5
48,The Searchers,1956,"Adventure, Drama, Western",119,7.8,"96,266",NO Information ,0,0
49,Jaws,1975,"Adventure, Mystery, Thriller",124,8.1,"659,332",$260.00M,4,3
50,Patton,1970,"Biography, Drama, War",172,7.9,"107,943",$61.70M,10,7
51,Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",110,8.0,"226,695",$102.31M,7,4
52,The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",126,8.2,"132,407",$5.01M,4,3
53,"The Good, the Bad and the Ugly",1966,"Adventure, Western",148,8.8,"811,075",$6.10M,0,0
54,The Apartment,1960,"Comedy, Drama, Romance",125,8.3,"196,770",$18.60M,10,5
55,Platoon,1986,"Drama, War",120,8.1,"439,446",$138.53M,8,4
56,High Noon,1952,"Drama, Thriller, Western",85,8.0,"110,161",$9.45M,7,4
57,Braveheart,1995,"Biography, Drama, War",178,8.3,"1,091,231",$75.60M,10,5
58,Dances with Wolves,1990,"Adventure, Drama, Western",181,8.0,"290,570",$184.21M,12,7
59,Jurassic Park,1993,"Action, Adventure, Sci-Fi",127,8.2,"1,066,915",$402.45M,3,3
60,The Exorcist,1973,Horror,122,8.1,"454,876",$232.91M,10,2
